Problem,Algorithm,Mean fitness,Std fitness,Best fitness,Worst fitness
Sphere,FA,154.14446019801608,11.469422203944065,132.4875177766344,176.3251690059292
Sphere,PSO,155.0451400758769,24.781744459374547,99.59022097602859,202.50481736438647
Sphere,GWO,9.327962466285729e-20,1.1313792030754727e-19,3.9457818388611234e-21,5.893637064909198e-19
Rastrigin,FA,355.83843351216035,15.860289473945388,323.434028623388,380.00854635084943
Rastrigin,PSO,416.7574435080522,24.720983824711265,364.98238008494184,459.29137748200014
Rastrigin,GWO,0.9162571204559982,4.559081381739254,0.0,25.383343583098622
Rosenbrock,FA,140360110.15181905,21132894.503018353,90081911.34743121,179297389.9578692
Rosenbrock,PSO,221107477.5446126,51134530.79252585,114269657.97320114,326051447.3519767
Rosenbrock,GWO,26.666983655295844,0.6867364428998306,25.21897975425028,27.97523645074789
