Problem,Algorithm,Mean fitness,Std fitness,Best fitness,Worst fitness
Rosenbrock,PSO,223555934.62644735,52258451.83618716,130070810.37351578,321525924.85022455
Rosenbrock,Tuned PSO,37988535.379226275,10145441.350675574,12136809.189326912,63991912.04606145
