Problem,Algorithm,Mean fitness,Std fitness,Best fitness,Worst fitness
Rosenbrock,FA,143939756.8435845,21519394.34522539,96446638.28832662,181859214.52819306
Rosenbrock,Tuned FA,144368673.49371853,24930769.942105144,88818809.39470385,209252415.48018545
